序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
99,600715,文投控股,-0.01,319173944.56,-19.5879004015,-15.8635,-45116028.79,95.0517543132,-5640.3638,0.267081199703,-4.1,-0.039448306918,30.3998512923,游戏Ⅱ,2026-07-01
100,600689,上海三毛,0.06,1535539312.23,27.6559215711,98.1334,11413692.14,-38.14,-198.136,2.338571886949,2.45,-0.053253933529,4.0914846197,综合Ⅱ,2026-07-01
101,400030,蓝璟5,0.0483,697972911.56,35.1491248355,,64433372.59,270.23,,0.296559799375,17.88,0.031777265546,16.4098128141,,2026-07-01
102,920193,吉和昌,0.78,529066390.97,2.2582728499,,65321923.33,15.9293452153,,6.106319551594,13.79,0.796013290524,28.6389263061,电池,2026-06-30
103,875083,林泉股份,0.86,910698474.29,5.6035342738,,108329411.41,258.5744038099,,6.209604079898,14.97,0.103511098683,26.0710460995,,2026-06-30
104,875011,优云科技,2.15,2129610090.93,26.1947292873,,193307896.15,30.3893569798,,8.399179991667,29.63,3.864842887556,17.1355296528,,2026-06-30
105,874978,中源技术,1.91,305933844.25,13.045704264,,95606979.82,2.190397697,,7.5467876686,29.09,1.0189265676,44.5343736892,,2026-06-30
106,874976,澳维科技,0.69,480914372.19,-1.7061276694,,89498364.37,-9.3989450671,,4.182553139742,17.84,0.830030849628,38.0897849145,,2026-06-30
107,874969,嘉拓智能,0.54,4515291506.58,22.529306374,,191818386.2,9.4263149618,,5.93037041785,9.62,1.728263499802,22.7011477717,,2026-06-30
108,874949,玖行能源,1.24,2234670693.37,34.338497329,,102643903.53,24.0105245537,,9.333496982924,14.37,0.749272339164,19.2804456083,,2026-06-30
109,874923,和烁丰,1.73,1151194390.76,16.8600094633,,176692407.38,0.8220478577,,8.034213049455,25.02,2.046662505251,26.6442033806,,2026-06-30
110,874915,中维化纤,0.27,953969685.2,34.9738473339,,96866393.32,113.0411622756,,2.261647806195,13.35,0.092940855104,23.9366498603,,2026-06-30
111,874901,星网信通,0.88,639256280.05,6.7759458554,,69644700.65,36.819023903,,5.317977982479,18.11,1.326834617994,28.9442972192,,2026-06-30
112,874879,戈尔德,1.5,2205942418.69,10.6136869143,,126643104.35,-3.3286911159,,18.810061810117,8.48,0.905847577795,20.9170135435,,2026-06-30
113,874870,武晓集团,1.32,3621610407.53,56.4389336949,,198613843.51,169.3072551113,,6.179054275467,23.27,0.879556046867,12.8016092575,,2026-06-30
114,874847,美昱新材,2.39,998988566.12,-0.9236466366,,71660599.81,-5.7182949804,,14.740911857333,16.82,-1.638687475333,14.2318623688,,2026-06-30
115,874818,睿龙科技,1.17,300821745.5,37.5320232551,,143708607.15,30.7972724113,,4.890980072908,27.25,0.64258616209,79.0311472679,,2026-06-30
116,874813,擎科生物,0.83,633321508.3,11.8569611164,,67121773.47,48.8113574887,,11.41167665032,7.53,1.922101598413,47.4157885631,,2026-06-30
117,874784,森泰英格,1.07,389031427.24,17.9406466319,,59173964.37,82.1076631807,,8.995738424675,12.7,0.306262071532,38.4027944297,,2026-06-30
118,874777,中星联华,1.69,180221658.65,55.6034587664,,61005213.75,240.104472815,,3.116621627778,74.67,1.747742794167,65.8736197687,,2026-06-30
119,874775,云岭光电,0.1228,268931541.84,84.0920203519,,37960273.64,263.0634222512,,1.911165343153,7.1,0.125326626901,32.6145069336,,2026-06-30
120,874717,鹰峰电子,0.87,1821209886.2,-1.0971332632,,91190158.04,34.8039495211,,10.520324997129,8.64,0.048710909418,16.8089520527,,2026-06-30
121,874661,宸芯科技,-0.07,478683750.03,39.0759768377,,-141927526.26,-70.6779864884,,1.217615923934,-5.76,-0.082538012703,45.3819047976,,2026-06-30
122,874659,深鹏科技,1.16,679152108.29,32.018801928,,53296057.53,493.0452937097,,6.666767272709,21.66,1.932722771818,27.9899331224,,2026-06-30
123,874451,紫光国芯,0.9417,1830296529.14,54.7871044931,,111952587.77,489.5047289984,,8.947097643271,13.81,-0.110405135874,22.9761095126,,2026-06-30
124,874419,振华海科,0.73,593913496.69,2.5842600489,,83170455.35,73.7415287603,,6.884958421919,11.03,0.848264664333,33.6089953575,,2026-06-30
125,874401,中煤环保,0.78,439988440.5,83.9091661896,,79140218.17,137.786619555,,3.528654846615,24.51,-0.240117983394,29.2503564648,,2026-06-30
126,874390,佑威新材,2.02,872662998.1,46.3423917362,,100931286.78,108.4297424952,,15.3643839542,14.05,0.2022429596,23.5550854852,,2026-06-30
127,874352,福建三星,0.98,503537895.74,19.8187749888,,72043064.89,10.186009743,,8.341448427134,12.47,0.575616265362,25.9334167527,,2026-06-30
128,874233,华茂精密,1.25,152163195.79,16.8740464183,,43229519.39,31.9489762403,,6.278428458717,21.42,1.156182856772,48.2242945076,,2026-06-30
129,874183,医诺生物,1.24,775549786.82,9.7849046702,,72519623.29,-8.1369025878,,10.309590482912,12.85,1.821864263329,26.4970163686,,2026-06-30
130,874076,朝晖股份,0.01,624658896.16,2.9877009646,,633689.98,101.52,,2.332463333217,0.37,0.491334046347,24.6384019816,,2026-06-30
