code,published,title,source,url,sentiment,positive_hits,negative_hits,risk_hits
600113,2026-07-29 20:18:00,预制菜概念上涨2.48%，10股主力资金净流入超千万元,证券时报网,http://finance.eastmoney.com/a/202607293825299150.html,0.0,0,0,0
600113,2026-07-24 16:43:00,强势股追踪 主力资金连续5日净流入109股,证券时报网,http://finance.eastmoney.com/a/202607243820497586.html,0.0,0,0,0
600113,2026-07-28 18:47:00,商贸零售行业资金流入榜：小商品城、东百集团等净流入资金居前,证券时报网,http://finance.eastmoney.com/a/202607283823620933.html,0.0,0,0,0
600113,2026-07-23 18:13:00,强势股追踪 主力资金连续5日净流入85股,证券时报网,http://finance.eastmoney.com/a/202607233819056313.html,0.0,0,0,0
600113,2026-07-22 17:24:00,强势股追踪 主力资金连续5日净流入85股,证券时报网,http://finance.eastmoney.com/a/202607223817359251.html,0.0,0,0,0
600113,2026-07-20 12:55:00,54只股上午收盘涨停(附股),证券时报网,http://finance.eastmoney.com/a/202607203812762847.html,0.0,0,0,0
600113,2026-07-06 16:45:00,强势股追踪 主力资金连续5日净流入173股,证券时报网,http://finance.eastmoney.com/a/202607063795176581.html,0.0,0,0,0
600113,2026-07-10 15:24:00,涨停股复盘：14股封单超亿元,证券时报网,http://finance.eastmoney.com/a/202607103801775252.html,0.0,0,0,0
600113,2026-07-01 18:49:00,浙江东日提示异动风险：市盈率97倍高于行业 未涉热点概念,财中社,http://finance.eastmoney.com/a/202607013790382269.html,0.0,0,0,0
603256,2026-08-03 16:57:04,宏和科技603256龙虎榜数据08-03,东方财富Choice数据,http://finance.eastmoney.com/a/202608033829821738.html,0.0,0,0,0
603256,2026-07-30 16:58:18,宏和科技603256龙虎榜数据07-30,东方财富Choice数据,http://finance.eastmoney.com/a/202607303826748668.html,0.0,0,0,0
603256,2026-07-29 16:57:16,宏和科技603256龙虎榜数据07-29),东方财富Choice数据,http://finance.eastmoney.com/a/202607293825141069.html,0.0,0,0,0
603256,2026-07-27 10:54:00,603256，盘中巨震,上海证券报,http://finance.eastmoney.com/a/202607273821852970.html,2.0,2,0,0
603256,2026-07-14 22:47:00,利好来了！002466、601869、603629、603256等多只热门股业绩大幅预增 最高预增49倍！,中国基金报,http://finance.eastmoney.com/a/202607143806141527.html,2.0,2,0,0
603256,2026-07-03 21:04:00,40倍超级牛股603256，遭大股东减持,中国基金报,http://finance.eastmoney.com/a/202607033793823811.html,-1.25,0,1,0
603256,2026-06-29 12:31:00,大牛股603256 1分钟跌停！一年涨超3600%,华夏时报,http://finance.eastmoney.com/a/202606293786429181.html,0.0,0,0,0
603256,2026-08-03 18:43:00,沪股通现身7只个股龙虎榜,证券时报网,http://finance.eastmoney.com/a/202608033829918285.html,0.0,0,0,0
603256,2026-08-03 17:01:47,壹评级发布宏和科技首次评级报告,第一财经,http://finance.eastmoney.com/a/202608033829840735.html,0.0,0,0,0
603256,2026-08-03 18:43:00,营业部最青睐个股曝光 6股净买入超亿元,证券时报网,http://finance.eastmoney.com/a/202608033829918720.html,0.0,0,0,0
688313,2026-08-04 16:55:57,仕佳光子688313龙虎榜数据(08-04),东方财富Choice数据,http://finance.eastmoney.com/a/202608043831229776.html,0.0,0,0,0
688313,2026-08-03 11:20:13,仕佳光子688313.SH)2026年中报净利润为3.15亿元、较去年同期上涨45.30%,界面新闻,http://finance.eastmoney.com/a/202608033829611247.html,0.0,0,0,0
688313,2026-08-01 09:08:16,仕佳光子688313.SH)：2026年中报净利润为3.15亿元,界面新闻,http://finance.eastmoney.com/a/202608013828988553.html,-1.25,0,1,0
688313,2026-08-01 09:07:09,机构风向标 | 仕佳光子6883132026年二季度已披露持股减少机构超20家,界面新闻,http://finance.eastmoney.com/a/202608013828985862.html,0.0,0,0,0
688313,2026-08-04 17:17:00,8月4日龙虎榜机构席位买卖详情,南方财经网,http://finance.eastmoney.com/a/202608043831260544.html,0.0,0,0,0
688313,2026-08-03 11:46:21,8月3日午前CPO板块持续反弹 铭普光磁直线涨停,央广财经,http://finance.eastmoney.com/a/202608033829616248.html,0.0,0,0,0
688313,2026-08-04 22:39:00,沪股通现身10只个股龙虎榜,证券时报网,http://finance.eastmoney.com/a/202608043831520942.html,0.0,0,0,0
688313,2026-08-04 18:32:00,15.87亿元资金抢筹东山精密，机构狂买仕佳光子丨龙虎榜,21世纪经济报道,http://finance.eastmoney.com/a/202608043831321164.html,0.0,0,0,0
688313,2026-08-04 22:39:00,仕佳光子8月4日龙虎榜数据,证券时报网,http://finance.eastmoney.com/a/202608043831522236.html,0.0,0,0,0
688313,2026-07-31 21:17:18,仕佳光子半年度净利同比增长45.3%,国际金融报,http://finance.eastmoney.com/a/202607313828757478.html,1.0,1,0,0
601869,2026-08-05 16:57:11,长飞光纤601869龙虎榜数据08-05),东方财富Choice数据,http://finance.eastmoney.com/a/202608053832623398.html,0.0,0,0,0
601869,2026-07-30 16:58:18,长飞光纤601869龙虎榜数据07-30,东方财富Choice数据,http://finance.eastmoney.com/a/202607303826749388.html,0.0,0,0,0
601869,2026-07-15 11:43:00,业绩暴涨超7倍！601869，涨停！,中国基金报,http://finance.eastmoney.com/a/202607153807244379.html,1.0,1,0,0
601869,2026-07-14 22:38:00,601869 上半年净利预增超7倍！光纤热门股 密集报喜！,证券时报网,http://finance.eastmoney.com/a/202607143806136511.html,2.0,2,0,0
