序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
93,874877,越新科技,0.29,116991504.32,15.3371727224,,17625993.69,48.3078878846,,3.542318752833,8.65,0.455490046333,30.9768629788,,2026-06-10
94,874818,睿龙科技,0.12,47243847.03,-55.5260152067,,14174255.35,-76.3152970426,,5.00792818861,2.33,0.017519027615,67.0840008433,,2026-06-10
95,874773,犇星新材,0.589,1583885166.98,29.1443120381,32.4966,212041109.01,107.9356177759,56.1298,9.171727981778,6.64,-0.514528871444,23.5595027038,,2026-06-09
96,874391,金钛股份,0.23,484853260.72,29.9852187951,17.4709,48243158.05,35.4564185096,17.3141,7.198266906952,3.24,-0.116865154476,18.2982481191,,2026-06-09
97,874236,华晟智能,0.39,185949083.91,91.7511072642,-54.6573,19521520.75,409.5323624928,-64.755,8.6297849974,4.63,-1.5256090098,22.5699643029,,2026-06-09
98,301042,安联锐视,0.1613,177305208.18,76.8583196774,31.4708,11244708.61,62.5,-4.5519,15.430755981008,1.05,-1.026667877926,29.9865571665,计算机设备,2026-06-09
99,874695,赛维达,0.32,92303302.25,-31.3009097997,,15056285.26,-59.956834626,,7.364334869036,4.41,-0.977344843364,30.9211896154,,2026-06-08
100,873074,富士智能,0.11,253311461.97,1.8589107166,,16349269.49,-28.0297968493,,5.169527659738,2.24,0.046301849159,19.9060543206,,2026-06-08
101,920136,永励精密,0.39,117892395.46,-11.5075188444,-26.5694,23270793.01,-13.0467839285,-27.6981,13.343555160833,2.95,0.755143841833,32.8905145567,汽车零部件,2026-06-05
102,920117,龙鑫智能,0.32,147403717.46,59.8801603642,-24.5466,21356508.23,45.7334121368,-49.0053,10.330231047906,3.12,-0.054116178435,27.0739201274,通用设备,2026-06-05
103,873254,科蓝环保,0.16,45138335.91,19.9686753643,,9014076.6,160.6270687766,,6.796092201638,2.34,-0.080792355525,48.2801367854,,2026-06-05
104,874976,澳维科技,,106598172.22,18.4089500376,,20477953.66,15.4158500285,,4.3434673286,,-0.029779593343,39.5518406103,,2026-06-04
105,874352,福建三星,0.31,135680962.4,39.6260744298,,22544674.66,68.7222225152,,8.647928506797,3.61,-0.328548834421,29.4348584898,,2026-06-04
106,688797,臻宝科技,0.44,222949316.92,34.9297029194,,51025494.75,72.38,,10.84633107922,4.13,0.350572448518,46.8357950913,半导体,2026-06-04
107,001399,惠科股份,0.15,10263351404.3,5.8490729097,-11.9727,995464218.45,-1.61,18.9591,4.020386485143,3.88,0.465980701103,20.9576975945,光学光电子,2026-06-04
108,920222,益坤电气,0.15,88426077.89,12.6459875126,-11.3013,10774413.7,13.9974420608,-39.1013,4.83750322033,3.11,0.388943688462,28.9364611781,电网设备,2026-06-03
109,874775,云岭光电,0.0291,83635216.21,78.3622896111,12.0479,9258966.93,35.6580039455,-25.7627,1.94085202535,1.51,-0.044006412897,35.4626339884,,2026-06-03
110,874726,国电股份,0.38,437380374.63,13.4079699734,,17460441.74,12.2457578414,,3.913377535575,9.79,-1.384069583225,9.9881460678,,2026-06-03
111,832836,银钢一通,0.27,92741629.3,9.0420237962,,13814800.32,16.4105867092,,8.145210617289,3.33,0.00292748643,24.4229249485,,2026-06-03
112,920065,千岸科技,0.71,455770050.98,3.9545523962,-25.3873,51970787.34,-14.9787011409,-16.1505,10.174013520687,7.27,1.213038407835,46.4113799942,互联网电商,2026-06-02
113,874860,帅特龙,0.52,298213198.52,8.3508169404,-32.2976,31008960.5,8.4537212385,4.286,14.273381828333,3.69,0.331988115167,24.6446941969,,2026-06-02
114,874522,中德科技,0.09,84724525.01,6.7417316234,-49.513,5923678.73,666.0829308539,-79.3191,6.955432133746,1.29,-0.358683918441,28.9415288042,,2026-06-02
115,874494,新涛智控,0.17,66372888.58,-14.5269059237,-34.3226,8644518.07,-19.8291819359,-36.8052,8.5258508346,2.05,0.4815798446,26.5526114157,,2026-06-02
116,833755,扬德环能,0.08,102886820.64,19.9183362993,2.6698,27804335.53,0.6208116977,39.5349,2.962939784465,2.66,0.0379621789,43.0879744113,,2026-06-02
117,874779,朱炳仁铜,0.68,379272799.99,92.1676488108,,71820770.53,168.4416877087,,6.18822187,,0.871582149429,59.9097233564,,2026-06-01
118,874438,亚信股份,0.29,95606178.46,31.6285043911,,14360736.37,58.697897585,,4.7570855918,6.23,0.0952773554,29.6934456614,,2026-06-01
119,834377,德博科技,0.6,131207727.1,38.888434029,,26243013.74,36.2379750355,,7.43972783,8.26,0.508246007045,32.1955408143,,2026-06-01
120,875058,博涛智能,0.81,565211669.46,45.5998991236,,85490823.14,30.7428515915,,12.183025591577,6.83,0.750875727359,26.6989768425,,2026-05-29
121,874729,深达威,0.283,71417131.66,1.6001387594,,14362871.58,-0.5873281598,,7.395019394946,3.9,-0.052441571523,36.7303207652,,2026-05-29
122,874579,康华股份,0.05,114140106.42,-12.2457389853,-46.8718,16576812.63,62.2247221007,-75.2889,3.593319649389,1.56,0.033625764333,60.6963187025,,2026-05-29
123,873952,鑫森炭业,0.06,73953199.98,-6.1771054391,-1.3907,7365694.53,-35.1432352372,-31.1886,3.239591365576,1.88,-0.023717606623,26.7298332802,,2026-05-29
124,832684,天运股份,0.03,71138120.08,-36.976360123,-25.2011,4038456.29,-74.043852607,-65.7563,2.272930934988,1.48,-0.036717276563,16.7399937285,,2026-05-29
125,874873,卓目科技,-0.14,10999048.38,-14.8664676705,,-6217814.41,-312.9924267354,,5.651502075178,-2.38,-1.16579389609,41.593720947,,2026-05-28
126,874684,科建股份,0.3,108980584.86,6.0663297296,-27.9784,15964857.02,34.097080147,-27.9509,7.641657527608,3.95,0.37704210516,32.8863129851,,2026-05-28
127,920193,吉和昌,0.3,158343038.86,33.264532074,,25139078.3,66.5332953692,,6.424749324379,4.81,-0.010111315864,31.8230116226,电池,2026-05-27
128,874778,格兰达,0.13,407773945.48,25.970278012,,21405375.66,110.1293510023,,2.621789842291,5.18,0.027560329969,19.2327846689,,2026-05-27
129,874595,中塑股份,0.68,178137586.76,17.5270172694,,25238449.61,-2.22,,16.62551898687,4.19,0.102453678579,29.9621109058,,2026-05-27
130,874159,邦特科技,0.22,195439694.74,-1.9173137795,,12303486.25,-2.1482517002,,7.855861264607,2.8,0.584649658605,16.2589529738,,2026-05-27
131,873845,鑫宇科技,0.51,261725609.6,242.8441413476,,64291734.46,454.7459601215,,5.491001692166,9.3,-0.141181224395,40.367968565,,2026-05-27
132,002842,翔鹭钨业,0.77,1148072573.02,138.6536376602,44.867,250511730.78,2917.13,172.5004,4.461930855713,18.79,-1.779880166856,31.0205527263,小金属,2026-05-27
133,874930,海明润,0.28,97822868.06,15.0078230085,-0.6276,17589002.9,-25.1069455949,125.5558,6.526043800057,4.0,0.006168483803,51.0179994614,,2026-05-26
134,874786,嘉泰激光,0.29,201698792.5,26.7595460529,-11.6982,23429136.18,115.8681392748,82.8787,6.342931136005,4.74,0.19226460025,27.1824634944,,2026-05-26
135,874642,星基智造,0.47,71185331.32,-5.1504368595,-15.2591,15551881.81,-16.7764730126,-12.555,5.63289311303,8.75,0.071368602727,42.1581665822,,2026-05-26
136,874536,浙江天际,0.15,168662388.76,50.6903226086,,20108082.78,36.4773170125,,4.334393031111,3.5,-0.183945830815,29.2378513387,,2026-05-26
137,874379,舒友仪器,0.54,56428637.36,5.0976230817,,16317086.9,2.3100954788,,14.019000752333,3.96,0.444124603667,49.22093809,,2026-05-26
138,874701,永志股份,0.154,319041246.27,25.0863079833,,17433067.8,20.0528809915,,5.271114942194,2.96,-0.002744296483,14.1686018559,,2026-05-25
139,874360,世纪数码,0.43,170840776.55,5.5281255014,5.4441,14227657.18,17.6622593445,-19.5963,9.853245622376,4.43,-0.407404296941,20.726577141,,2026-05-25
140,839010,延安医药,0.09,95676699.27,13.2549203999,,11774754.46,110.147709632,,5.796572902837,1.61,0.291244320883,40.0747162293,,2026-05-25
141,874987,科麦特科,0.23,98619586.37,22.2880559739,,12293910.01,-33.377690312,,6.665238950745,3.59,-0.275704366155,32.7762552854,,2026-05-22
142,874751,宏景电子,0.33,378148197.52,22.9909826817,,38711192.94,44.2163915148,,4.111491596275,8.38,-0.027615523236,22.5749031834,,2026-05-22
143,874498,艾斯迪,0.22,183469591.95,-0.2890283478,-22.6817,11457688.62,-20.8882884214,-27.8537,10.306256758627,2.2,0.484564481961,16.6599278034,,2026-05-22
144,874392,祺龙海洋,0.09,59446543.83,-31.7188588997,13.1383,12209313.92,-45.5345138057,159.3616,2.670737643068,3.27,0.07729710834,37.9230282159,,2026-05-22
145,874386,杰锋动力,0.83,567786756.39,11.8647718216,-19.6779,40874016.47,49.4815383921,-30.9942,15.960230695134,5.35,-2.206220860892,20.8493172283,,2026-05-22
146,873981,正导技术,0.1,334431987.2,22.4054927415,-10.804,9787795.55,14.9908439036,-53.3245,3.810878459,2.6,-0.548084309,12.2141069914,,2026-05-22
147,871633,华电光大,0.02,54194861.33,21.8773500482,-59.1527,2065673.05,159.2131411948,-91.0878,2.615592167154,0.61,-0.296950924,40.2996357662,,2026-05-22
148,837291,汉盛海装,0.53,97804596.35,39.9351845336,,25438198.81,37.9915071399,,7.1497472225,7.67,0.319404795625,48.679685942,,2026-05-22
149,430555,英派瑞,0.07,134610149.99,12.4520350073,0.5654,16839961.7,21.759586991,-9.3402,2.006940685878,3.52,-0.057279018504,29.3421077704,,2026-05-22
150,920126,永大股份,0.2547,191622469.35,-2.1799875409,-47.6269,35540085.92,-11.5806087942,-8.7844,5.810423678346,4.48,-0.033003628475,24.7912455993,专用设备,2026-05-21
151,874544,邦正精机,0.24,33139670.89,21.4213108588,,7501352.86,19.9503582066,,8.13546859086,2.98,0.859932970202,45.7403612737,,2026-05-21
152,874445,科金明,0.11,168870981.91,12.8768066775,-59.3709,3061202.69,336.94825789,-93.5355,13.034923026428,0.86,-0.262083073654,32.0680034944,,2026-05-21
153,874158,天元重工,0.0866,84256788.04,21.8530991052,-69.0066,14823144.26,46.5634179705,-61.1545,3.688487606659,2.38,0.236932007652,28.5303552143,,2026-05-21
154,874025,凯达重工,0.07,87832419.9,-19.5828097152,,11011092.67,-28.1761299679,,3.267765900303,2.06,0.088100076788,26.611865888,,2026-05-21
155,603435,嘉德利,0.15,209388700.0,15.3932675913,,63418600.0,3.2803891584,,,,,,电子化学品Ⅱ,2026-05-21
156,301688,格林生物,,318053000.0,15.9532356134,25.1652,50086900.0,-1.1336091526,40.8483,,,,,,2026-05-21
157,301669,高特电子,0.04,232971097.99,26.1447578299,-35.641,15454103.68,29.85,-65.9344,2.651294834611,1.63,-0.4124130335,23.7006102673,其他电源设备Ⅱ,2026-05-21
158,001237,惠康科技,0.75,561067055.45,5.4571058619,-2.9194,82939303.27,3.61,44.1442,13.349973985825,5.73,0.102494587627,25.9744247723,通用设备,2026-05-21
159,874772,腾信精密,0.8155,203154926.26,4.7493722348,,48928224.83,-14.1684747414,,16.654736013,5.02,0.748828271667,48.0923744891,,2026-05-20
160,874727,尚睿科技,0.55,374878192.8,11.4628248219,-52.3916,29051691.46,-8.3687278888,-61.6892,13.011637715154,4.3,-2.363216586472,44.874565966,,2026-05-20
161,874617,双英集团,0.06,758190058.87,20.4900730455,-38.0641,7084430.86,44.0834049975,-91.6585,6.800214585795,0.92,0.800078845178,11.8598223886,,2026-05-20
162,874569,菊乐股份,0.9147,452480549.28,17.1149919903,15.2454,84590012.68,29.504656983,51.7044,15.907529227097,5.92,1.061787450693,37.2371463697,,2026-05-20
163,873264,广规科技,0.13,150220949.58,2.9895238344,-58.2147,15262913.27,-5.1296796168,-79.7172,8.780467235167,1.46,-1.026143104833,44.1161178153,,2026-05-20
164,874811,重数传媒,0.74,89689056.93,5.5830508373,,33285682.61,-1.6356269667,,16.148313523556,4.69,0.235063680222,43.0527635608,,2026-05-19
165,874611,北方实验,-0.13,36697031.73,8.7258885944,-83.1737,-9415549.2,-289.9271559995,-110.2197,8.741355542,-1.43,-0.337332487733,60.4724676733,,2026-05-19
166,874565,耀泰股份,0.76,220700784.0,10.4889883318,-7.4163,46821490.76,0.9245556128,20.0509,7.461976447642,10.73,0.733141976098,46.8909447236,,2026-05-19
167,874537,美康股份,0.3546,56885791.39,13.6090034109,-17.8063,19939583.65,12.5748515175,-26.1838,8.92539742517,4.05,0.040395793301,80.078128979,,2026-05-19
168,874226,博韬合纤,0.35,216961947.68,11.6144887723,-10.1898,16305580.1,10.6165050216,-26.5087,14.008928122501,2.56,-0.550505592226,13.2816048981,,2026-05-19
