rank,code,name,industry,uplift_pct,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error,final_price,final_market_cap,final_float_market_cap
43,688629,华丰科技,元器件,582.68,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
44,300749,顶固集创,家居用品,568.68,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,20.73,5.82,2.15,68800504.0,,,,,,,,,20.73,,
45,688656,浩欧博,医疗保健,556.5,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,86.85,-0.21,0.15,8337392.0,,,,,,,,,86.85,,
46,301183,东田微,元器件,554.95,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
47,002052,同洲电子,家用电器,552.57,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
48,002842,翔鹭钨业,小金属,551.42,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
49,688325,赛微微电,半导体,549.02,,2026-08-06,109.11,2.12,0.25,22357393.0,109.11,86466427.0,82181375.0,9434351849.97,8966809826.25,半导体,20220422.0,,109.11,9434351849.97,8966809826.25
50,688227,品高股份,软件服务,533.01,,,,,,,83.46,113055275.0,113055275.0,9435593251.5,9435593251.5,IT服务Ⅱ,20211230.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",83.46,9435593251.5,9435593251.5
51,300102,乾照光电,半导体,532.14,,,,,,,18.83,920333863.0,915923732.0,17329886640.289997,17246843873.559998,光学光电子,20100812.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",18.83,17329886640.289997,17246843873.559998
52,300720,海川智能,电器仪表,531.81,,2026-08-06,70.3,8.69,5.34,659924653.06,70.11,194877256.0,184145221.0,13662844418.16,12910421444.31,通用设备,20171106.0,,70.11,13662844418.16,12910421444.31
53,300857,协创数据,IT设备,526.33,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
54,300436,广生堂,化学制药,524.06,,,,,,,92.64,159267000.0,136721969.0,14754494880.0,12665923208.16,化学制药,20150422.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",92.64,14754494880.0,12665923208.16
