code,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error
301075,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,56.29,1.26,0.38,16837468.02,,,,,,,,
603618,,2026-08-06,26.65,1.64,7.79,1420873081.0,26.68,691375616.0,691375616.0,18445901434.88,18445901434.88,电网设备,20150217.0,
603009,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300342,,,,,,,36.0,425035113.0,418798863.0,15301264068.0,15076759068.0,家电零部件Ⅱ,20120726.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300085,,,,,,,31.85,706640535.0,652012860.0,22506501039.75,20766609591.0,软件开发,20100526.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300620,,,,,,,262.72,249180545.0,247103188.0,65464712782.40001,64918949551.36001,通信设备,20170310.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001896,,,,,,,13.07,1525781330.0,1525781330.0,19941961983.100002,19941961983.100002,电力,19980122.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300991,,,,,,,27.96,144000000.0,92142000.0,4026240000.0,2576290320.0,其他电子Ⅱ,20210520.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300499,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,28.27,1.33,2.57,193250653.8,,,,,,,,
301285,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600301,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,49.06,3.37,3.0,403553665.0,,,,,,,,
002851,,2026-08-06,119.63,2.69,3.1,1773902448.87,119.63,585010344.0,491689122.0,69984787452.72,58820769664.86,其他电源设备Ⅱ,20170306.0,
688081,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301550,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300385,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,11.26,-0.35,0.5,16434796.0,,,,,,,,
300468,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603663,,2026-08-06,38.78,4.08,3.42,774018905.0,38.79,593570127.0,593166927.0,23024585226.329998,23008945098.329998,化学原料,20160801.0,
688607,,2026-08-06,43.39,3.53,2.06,69802374.0,43.39,88129027.0,79329027.0,3823918481.53,3442086481.53,医疗器械,20210201.0,
920046,,,,,,,22.41,101150000.0,55927037.0,2266771500.0,1253324899.17,电网设备,20221013.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
