序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
650,002132,恒星科技,4.14,1.72,1.51,25.61,4.046955115809,0.2784288,58.91503121,-875,4106,70.0,2026-08-05
651,002133,广宇集团,2.6,-0.38,0.4,-120.87,2.601322833746,0.1340492,64.38122827,-87,2590,66.4,2026-08-05
652,002134,天津普林,20.89,2.1,1.3,111.65,20.259952875303,0.2084324,67.36295629,1217,1711,72.0,2026-08-05
653,002135,东南网架,6.5,1.88,0.4,118.84,6.318547899945,0.3220376,61.14314021,1453,3518,68.0,2026-08-05
654,002136,安 纳 达,12.3,0.0,0.74,89.2,12.202764028537,0.3389052,62.6132051,1505,3093,68.8,2026-08-05
655,002137,实益达,7.93,0.63,2.79,85.58,7.872605803118,0.2361972,65.67790374,209,2221,82.4,2026-08-05
656,002138,顺络电子,48.92,-1.37,1.75,44.11,48.708812383732,0.4223356,79.36514181,-35,73,86.4,2026-08-05
657,002139,拓邦股份,10.32,-1.05,0.79,61.99,10.433756978881,0.2355736,65.45958253,-1217,2288,87.2,2026-08-05
658,002140,东华科技,9.15,0.66,0.5,13.07,9.07240932683,0.1961808,65.07556977,-1353,2400,73.6,2026-08-05
659,002141,贤丰控股,5.77,2.49,10.0,149.83,5.590684035667,0.2363148,57.18399022,-813,4478,90.8,2026-08-05
660,002142,宁波银行,31.55,-0.32,0.07,6.37,31.517106267352,0.291112,66.64532832,-309,1936,86.8,2026-08-05
661,002144,宏达高科,10.49,1.06,0.86,38.43,10.387794073631,0.0714012,55.59147818,-247,4742,71.2,2026-08-05
662,002145,钛能化学,4.55,-1.52,0.53,20.63,4.63394258694,0.2882324,66.70747999,-36,1910,78.0,2026-08-05
663,002146,荣盛发展,1.12,-0.88,0.52,-1.85,1.129274152339,0.5083784,58.1726911,619,4270,74.4,2026-08-05
664,002148,北纬科技,6.49,1.72,1.65,375.3,6.399662507361,0.195736,57.57747963,-387,4396,77.6,2026-08-05
665,002149,西部材料,39.09,2.71,4.01,518.77,37.597595569614,0.30437,64.82904229,268,2459,79.6,2026-08-05
666,002150,正泰电源,21.4,0.38,0.45,128.29,21.235406056452,0.192288,67.03022297,90,1804,70.8,2026-08-05
667,002151,北斗星通,29.87,0.74,1.12,299.08,29.704829698966,0.2308332,58.64455678,-1174,4166,81.2,2026-08-05
668,002152,广电运通,10.49,1.25,0.69,28.78,10.383412829853,0.2939912,66.03220969,164,2114,88.0,2026-08-05
669,002153,石基信息,8.69,1.4,0.84,250.78,8.603736282058,0.210464,66.28805275,-648,2047,84.4,2026-08-05
670,002154,报 喜 鸟,4.09,-0.24,0.78,6.3,4.093987135756,0.167958,65.09658186,-501,2392,75.2,2026-08-05
671,002155,湖南黄金,25.51,3.36,3.49,16.73,24.094553615246,0.3983684,76.84441444,845,206,80.8,2026-08-05
672,002156,通富微电,60.25,3.88,4.34,69.47,57.267587530568,0.4358104,67.63137002,-1088,1648,89.6,2026-08-05
673,002157,正邦科技,2.92,-1.35,0.41,-16.3,2.949018712035,0.4018716,59.9756335,825,3855,76.4,2026-08-05
674,002158,汉钟精机,27.7,1.35,1.1,26.41,27.169030847675,0.2948564,74.82591121,1,360,76.8,2026-08-05
675,002159,三特索道,13.26,-0.08,0.46,28.43,13.303759605576,0.2025672,66.28606089,1147,2049,66.0,2026-08-05
676,002160,常铝股份,3.91,0.26,0.61,79.44,3.895855395973,0.193443818182,58.60905375,34,4177,72.4,2026-08-05
