股票代码,完整代码,股票简称,交易所,板块,行业,地区,2024-02-06最低价,2024-09-24最低价,2025-04-09最低价,2026-03-24最低价,第一段抬升,第二段抬升,第三段抬升,累计抬升,是否ST
688047,688047.SH,龙芯中科,上交所,科创板,半导体,北京,68.5,88.12,124.5,133.1,28.64%,41.28%,6.91%,94.31%,否
001229,001229.SZ,魅视科技,深交所,主板,IT设备,广东,20.39,23.16,25.51,39.61,13.59%,10.15%,55.27%,94.26%,否
688117,688117.SH,圣诺生物,上交所,科创板,生物制药,四川,16.46,23.5,25.11,31.92,42.77%,6.85%,27.12%,93.92%,否
300423,300423.SZ,昇辉科技,深交所,创业板,电气设备,山东,4.38,5.18,5.89,8.49,18.26%,13.71%,44.14%,93.84%,否
000554,000554.SZ,泰山石油,深交所,主板,石油贸易,山东,4.19,4.96,5.0,8.12,18.38%,0.81%,62.40%,93.79%,否
600973,600973.SH,宝胜股份,上交所,主板,电气设备,江苏,3.16,3.4,3.87,6.12,7.59%,13.82%,58.14%,93.67%,否
300259,300259.SZ,新天科技,深交所,创业板,电器仪表,河南,2.32,2.49,2.8,4.49,7.33%,12.45%,60.36%,93.53%,否
600821,600821.SH,金开新能,上交所,主板,新型电力,天津,4.91,5.05,5.32,9.5,2.85%,5.35%,78.57%,93.48%,否
688625,688625.SH,呈和科技,上交所,科创板,化工原料,广东,26.2,29.84,42.23,50.66,13.89%,41.52%,19.96%,93.36%,否
000905,000905.SZ,厦门港务,深交所,主板,港口,福建,5.43,5.56,6.46,10.49,2.39%,16.19%,62.38%,93.19%,否
603213,603213.SH,镇洋发展,上交所,主板,化工原料,浙江,6.62,7.46,7.72,12.78,12.69%,3.49%,65.54%,93.05%,否
002025,002025.SZ,航天电器,深交所,主板,元器件,贵州,32.26,44.1,53.1,62.24,36.70%,20.41%,17.21%,92.93%,否
002483,002483.SZ,润邦股份,深交所,主板,专用机械,江苏,3.37,4.19,5.29,6.5,24.33%,26.25%,22.87%,92.88%,否
002383,002383.SZ,合众思壮,深交所,主板,通信设备,北京,4.78,6.0,6.15,9.21,25.52%,2.50%,49.76%,92.68%,否
002225,002225.SZ,濮耐股份,深交所,主板,其他建材,河南,2.58,3.18,4.28,4.97,23.26%,34.59%,16.12%,92.64%,否
001211,001211.SZ,双枪科技,深交所,主板,家居用品,浙江,13.13,14.34,17.36,25.28,9.22%,21.06%,45.62%,92.54%,否
300562,300562.SZ,乐心医疗,深交所,创业板,医疗保健,广东,6.29,10.23,11.0,12.11,62.64%,7.53%,10.09%,92.53%,否
000697,000697.SZ,炼石航空,深交所,主板,航空,陕西,4.63,5.61,7.25,8.91,21.17%,29.23%,22.90%,92.44%,否
603068,603068.SH,博通集成,上交所,主板,半导体,上海,15.81,19.17,25.91,30.41,21.25%,35.16%,17.37%,92.35%,否
605507,605507.SH,国邦医药,上交所,主板,化学制药,浙江,13.13,17.71,18.63,25.23,34.88%,5.19%,35.43%,92.16%,否
301038,301038.SZ,深水规院,深交所,创业板,建筑工程,深圳,10.42,13.98,15.11,20.02,34.17%,8.08%,32.50%,92.13%,否
300777,300777.SZ,中简科技,深交所,创业板,化纤,江苏,17.82,19.98,30.4,34.23,12.12%,52.15%,12.60%,92.09%,否
002757,002757.SZ,南兴股份,深交所,主板,专用机械,广东,9.95,11.42,14.9,19.11,14.77%,30.47%,28.26%,92.06%,否
001258,001258.SZ,立新能源,深交所,主板,新型电力,新疆,5.5,5.75,7.34,10.56,4.55%,27.65%,43.87%,92.00%,否
300674,300674.SZ,宇信科技,深交所,创业板,软件服务,北京,9.98,11.11,18.92,19.16,11.32%,70.30%,1.27%,91.98%,否
002144,002144.SZ,宏达高科,深交所,主板,纺织,浙江,6.96,8.47,8.78,13.36,21.70%,3.66%,52.16%,91.95%,否
603733,603733.SH,仙鹤股份,上交所,主板,造纸,浙江,11.53,15.17,19.67,22.11,31.57%,29.66%,12.40%,91.76%,否
300457,300457.SZ,赢合科技,深交所,创业板,专用机械,深圳,12.18,13.87,15.02,23.35,13.88%,8.29%,55.46%,91.71%,否
300429,300429.SZ,强力新材,深交所,创业板,化工原料,江苏,6.24,9.11,9.7,11.96,45.99%,6.48%,23.30%,91.67%,否
603192,603192.SH,汇得科技,上交所,主板,化工原料,上海,11.54,13.1,13.77,22.11,13.52%,5.11%,60.57%,91.59%,否
300247,300247.SZ,融捷健康,深交所,创业板,医疗保健,安徽,2.24,2.44,2.81,4.29,8.93%,15.16%,52.67%,91.52%,否
603585,603585.SH,苏利股份,上交所,主板,农药化肥,江苏,9.14,10.41,12.92,17.49,13.89%,24.11%,35.37%,91.36%,否
300092,300092.SZ,科新机电,深交所,创业板,专用机械,四川,7.38,8.93,9.8,14.12,21.00%,9.74%,44.08%,91.33%,否
002054,002054.SZ,德美化工,深交所,主板,染料涂料,广东,4.26,4.56,4.94,8.15,7.04%,8.33%,64.98%,91.31%,否
920014,920014.BJ,特瑞斯,北交所,北交所,专用机械,江苏,7.25,7.48,10.46,13.87,3.17%,39.84%,32.60%,91.31%,否
600749,600749.SH,西藏旅游,上交所,主板,旅游景点,西藏,7.8,10.18,10.2,14.92,30.51%,0.20%,46.27%,91.28%,否
300855,300855.SZ,图南股份,深交所,创业板,小金属,江苏,17.78,19.25,20.19,34.0,8.27%,4.88%,68.40%,91.23%,否
002593,002593.SZ,日上集团,深交所,主板,钢加工,福建,2.62,2.63,3.63,5.01,0.38%,38.02%,38.02%,91.22%,否
603079,603079.SH,圣达生物,上交所,主板,食品,浙江,8.13,10.42,14.1,15.54,28.17%,35.32%,10.21%,91.14%,否
600829,600829.SH,人民同泰,上交所,主板,医药商业,黑龙江,4.96,5.22,6.4,9.48,5.24%,22.61%,48.12%,91.13%,否
601609,601609.SH,金田股份,上交所,主板,铜,浙江,4.75,4.9,5.17,9.07,3.16%,5.51%,75.44%,90.95%,否
688616,688616.SH,西力科技,上交所,科创板,电器仪表,浙江,6.62,7.24,9.27,12.64,9.37%,28.04%,36.35%,90.94%,否
600137,600137.SH,浪莎股份,上交所,主板,服饰,四川,10.44,11.52,12.34,19.93,10.34%,7.12%,61.51%,90.90%,否
002480,002480.SZ,新筑股份,深交所,主板,运输设备,四川,3.06,4.01,4.57,5.84,31.05%,13.97%,27.79%,90.85%,否
300821,300821.SZ,东岳硅材,深交所,创业板,化工原料,山东,5.72,6.17,6.64,10.91,7.87%,7.62%,64.31%,90.73%,否
002575,002575.SZ,群兴玩具,深交所,主板,文教休闲,广东,4.4,4.52,7.61,8.39,2.73%,68.36%,10.25%,90.68%,否
603399,603399.SH,永杉锂业,上交所,主板,小金属,辽宁,5.22,6.31,7.02,9.95,20.88%,11.25%,41.74%,90.61%,否
605566,605566.SH,福莱蒽特,上交所,主板,染料涂料,浙江,12.92,13.94,15.0,24.6,7.89%,7.60%,64.00%,90.40%,否
002205,002205.SZ,国统股份,深交所,主板,水泥,新疆,6.4,6.65,7.68,12.18,3.91%,15.49%,58.59%,90.31%,否
301066,301066.SZ,万事利,深交所,创业板,纺织,浙江,7.01,7.99,10.14,13.34,13.98%,26.91%,31.56%,90.30%,否
002929,002929.SZ,润建股份,深交所,主板,通信设备,广西,23.66,24.44,39.21,45.02,3.30%,60.43%,14.82%,90.28%,否
300095,300095.SZ,华伍股份,深交所,创业板,专用机械,江西,4.85,5.45,5.5,9.22,12.37%,0.92%,67.64%,90.10%,否
600163,600163.SH,中闽能源,上交所,主板,新型电力,福建,3.33,4.35,4.71,6.33,30.63%,8.28%,34.39%,90.09%,否
300286,300286.SZ,安科瑞,深交所,创业板,电器仪表,上海,14.3,15.09,18.82,27.18,5.52%,24.72%,44.42%,90.07%,否
601877,601877.SH,正泰电器,上交所,主板,电气设备,浙江,17.4,18.33,20.67,33.04,5.34%,12.77%,59.85%,89.89%,否
002950,002950.SZ,奥美医疗,深交所,主板,医疗保健,湖北,6.02,7.09,7.21,11.42,17.77%,1.69%,58.39%,89.70%,否
000920,000920.SZ,沃顿科技,深交所,主板,塑料,贵州,6.33,7.68,8.67,11.99,21.33%,12.89%,38.29%,89.42%,否
002217,002217.SZ,合力泰,深交所,主板,元器件,福建,1.22,1.23,1.87,2.31,0.82%,52.03%,23.53%,89.34%,否
300605,300605.SZ,恒锋信息,深交所,创业板,软件服务,福建,6.92,9.86,10.2,13.1,42.49%,3.45%,28.43%,89.31%,否
601798,601798.SH,蓝科高新,上交所,主板,化工机械,甘肃,4.37,5.07,5.2,8.27,16.02%,2.56%,59.04%,89.24%,否
300154,300154.SZ,瑞凌股份,深交所,创业板,机械基件,深圳,3.99,4.86,7.29,7.55,21.80%,50.00%,3.57%,89.22%,否
002741,002741.SZ,光华科技,深交所,主板,化工原料,广东,9.0,11.07,12.47,17.03,23.00%,12.65%,36.57%,89.22%,否
600509,600509.SH,天富能源,上交所,主板,火力发电,新疆,4.26,5.02,5.54,8.06,17.84%,10.36%,45.49%,89.20%,否
600815,600815.SH,厦工股份,上交所,主板,工程机械,福建,1.93,1.99,2.25,3.65,3.11%,13.07%,62.22%,89.12%,否
300512,300512.SZ,中亚股份,深交所,创业板,专用机械,浙江,4.5,5.61,5.76,8.51,24.67%,2.67%,47.74%,89.11%,否
002492,002492.SZ,恒基达鑫,深交所,主板,仓储物流,广东,3.74,4.29,4.35,7.07,14.71%,1.40%,62.53%,89.04%,否
601116,601116.SH,三江购物,上交所,主板,超市连锁,浙江,7.14,7.55,9.91,13.48,5.74%,31.26%,36.02%,88.80%,否
000809,000809.SZ,和展能源,深交所,主板,电气设备,辽宁,1.95,1.96,2.8,3.68,0.51%,42.86%,31.43%,88.72%,否
000975,000975.SZ,山金国际,深交所,主板,黄金,内蒙,13.6,16.58,17.7,25.65,21.91%,6.76%,44.92%,88.60%,否
002472,002472.SZ,双环传动,深交所,主板,汽车配件,浙江,18.51,20.76,26.12,34.91,12.16%,25.82%,33.65%,88.60%,否
002139,002139.SZ,拓邦股份,深交所,主板,元器件,深圳,6.4,9.15,10.68,12.06,42.97%,16.72%,12.92%,88.44%,否
603158,603158.SH,腾龙股份,上交所,主板,汽车配件,江苏,5.8,6.54,7.0,10.92,12.76%,7.03%,56.00%,88.28%,否
002806,002806.SZ,华锋股份,深交所,主板,汽车配件,广东,6.8,8.58,10.41,12.8,26.18%,21.33%,22.96%,88.24%,否
600737,600737.SH,中粮糖业,上交所,主板,食品,新疆,7.75,8.65,9.45,14.58,11.61%,9.25%,54.29%,88.13%,否
300776,300776.SZ,帝尔激光,深交所,创业板,专用机械,湖北,37.6,40.92,52.5,70.7,8.83%,28.30%,34.67%,88.03%,否
002886,002886.SZ,沃特股份,深交所,主板,塑料,深圳,10.39,12.45,14.31,19.53,19.83%,14.94%,36.48%,87.97%,否
300382,300382.SZ,斯莱克,深交所,创业板,专用机械,江苏,5.65,7.4,8.15,10.61,30.97%,10.14%,30.18%,87.79%,否
605358,605358.SH,立昂微,上交所,主板,半导体,浙江,17.22,18.43,19.5,32.32,7.03%,5.81%,65.74%,87.69%,否
002658,002658.SZ,雪迪龙,深交所,主板,环境保护,北京,4.67,5.45,5.63,8.76,16.70%,3.30%,55.60%,87.58%,否
603758,603758.SH,秦安股份,上交所,主板,汽车配件,重庆,6.63,6.65,8.78,12.43,0.30%,32.03%,41.57%,87.48%,否
000045,000045.SZ,深纺织A,深交所,主板,元器件,深圳,6.82,8.06,8.4,12.78,18.18%,4.22%,52.14%,87.39%,否
002204,002204.SZ,大连重工,深交所,主板,专用机械,辽宁,3.33,4.04,5.03,6.24,21.32%,24.50%,24.06%,87.39%,否
301085,301085.SZ,亚康股份,深交所,创业板,软件服务,北京,31.31,41.39,47.0,58.54,32.19%,13.55%,24.55%,86.97%,否
603217,603217.SH,元利科技,上交所,主板,化工原料,山东,11.34,12.62,14.22,21.19,11.29%,12.68%,49.02%,86.86%,否
600712,600712.SH,南宁百货,上交所,主板,百货,广西,3.15,3.56,4.68,5.88,13.02%,31.46%,25.64%,86.67%,否
301118,301118.SZ,恒光股份,深交所,创业板,化工原料,湖南,11.9,14.4,18.82,22.21,21.01%,30.69%,18.01%,86.64%,否
300491,300491.SZ,通合科技,深交所,创业板,电气设备,河北,12.48,12.73,13.73,23.28,2.00%,7.86%,69.56%,86.54%,否
301169,301169.SZ,零点有数,深交所,创业板,文教休闲,北京,26.52,30.38,31.64,49.42,14.56%,4.15%,56.19%,86.35%,否
600618,600618.SH,氯碱化工,上交所,主板,化工原料,上海,6.52,7.49,8.3,12.15,14.88%,10.81%,46.39%,86.35%,否
000530,000530.SZ,冰山冷热,深交所,主板,机械基件,辽宁,3.06,3.66,4.22,5.7,19.61%,15.30%,35.07%,86.27%,否
002825,002825.SZ,纳尔股份,深交所,主板,化工原料,上海,5.16,6.19,6.6,9.61,19.96%,6.62%,45.61%,86.24%,否
000407,000407.SZ,胜利股份,深交所,主板,供气供热,山东,2.47,2.68,2.76,4.6,8.50%,2.99%,66.67%,86.23%,否
600470,600470.SH,六国化工,上交所,主板,农药化肥,安徽,3.55,4.03,4.84,6.61,13.52%,20.10%,36.57%,86.20%,否
301099,301099.SZ,雅创电子,深交所,创业板,元器件,上海,24.5,29.53,37.5,45.61,20.53%,26.99%,21.63%,86.16%,否
600584,600584.SH,长电科技,上交所,主板,半导体,江苏,20.63,27.5,28.9,38.39,33.30%,5.09%,32.84%,86.09%,否
603811,603811.SH,诚意药业,上交所,主板,化学制药,浙江,5.78,6.26,7.21,10.75,8.30%,15.18%,49.10%,85.99%,否
600960,600960.SH,渤海汽车,上交所,主板,汽车配件,山东,2.53,2.7,2.78,4.7,6.72%,2.96%,69.06%,85.77%,否
000796,000796.SZ,凯撒旅业,深交所,主板,旅游服务,海南,2.7,3.06,3.3,5.01,13.33%,7.84%,51.82%,85.56%,否
002093,002093.SZ,国脉科技,深交所,主板,文教休闲,福建,4.98,5.97,8.83,9.24,19.88%,47.91%,4.64%,85.54%,否
603759,603759.SH,海天股份,上交所,主板,水务,四川,5.46,5.62,6.95,10.13,2.93%,23.67%,45.76%,85.53%,否
300148,300148.SZ,天舟文化,深交所,创业板,出版业,湖南,2.21,2.7,3.41,4.1,22.17%,26.30%,20.23%,85.52%,否
601399,601399.SH,国机重装,上交所,主板,工程机械,四川,2.33,2.61,2.62,4.32,12.02%,0.38%,64.89%,85.41%,否
002117,002117.SZ,东港股份,深交所,主板,广告包装,山东,5.41,6.21,9.71,10.03,14.79%,56.36%,3.30%,85.40%,否
300238,300238.SZ,冠昊生物,深交所,创业板,医疗保健,广东,7.93,9.33,10.17,14.7,17.65%,9.00%,44.54%,85.37%,否
603697,603697.SH,有友食品,上交所,主板,食品,重庆,5.57,5.72,9.91,10.32,2.69%,73.25%,4.14%,85.28%,否
300453,300453.SZ,三鑫医疗,深交所,创业板,医疗保健,江西,4.88,6.15,7.28,9.04,26.02%,18.37%,24.18%,85.25%,否
300420,300420.SZ,五洋自控,深交所,创业板,机械基件,江苏,1.87,2.1,2.25,3.46,12.30%,7.14%,53.78%,85.03%,否
002648,002648.SZ,卫星化学,深交所,主板,化工原料,浙江,13.25,15.01,15.9,24.48,13.28%,5.93%,53.96%,84.75%,否
002654,002654.SZ,万润科技,深交所,主板,互联网,深圳,7.07,9.02,9.72,13.06,27.58%,7.76%,34.36%,84.72%,否
300387,300387.SZ,富邦科技,深交所,创业板,农药化肥,湖北,4.49,6.44,8.1,8.29,43.43%,25.78%,2.35%,84.63%,否
688296,688296.SH,和达科技,上交所,科创板,软件服务,浙江,7.09,8.08,9.86,13.09,13.96%,22.03%,32.76%,84.63%,否
300786,300786.SZ,国林科技,深交所,创业板,环境保护,山东,7.52,10.33,11.03,13.88,37.37%,6.78%,25.84%,84.57%,否
600558,600558.SH,大西洋,上交所,主板,钢加工,四川,2.9,3.24,3.85,5.35,11.72%,18.83%,38.96%,84.48%,否
688218,688218.SH,江苏北人,上交所,科创板,专用机械,江苏,12.4,12.58,16.99,22.85,1.45%,35.06%,34.49%,84.27%,否
300872,300872.SZ,天阳科技,深交所,创业板,软件服务,西藏,8.67,10.7,12.33,15.97,23.41%,15.23%,29.52%,84.20%,否
688682,688682.SH,霍莱沃,上交所,科创板,软件服务,上海,21.71,24.57,26.78,39.93,13.17%,8.99%,49.10%,83.92%,否
605162,605162.SH,新中港,上交所,主板,供气供热,浙江,5.64,6.14,6.32,10.37,8.87%,2.93%,64.08%,83.87%,否
002371,002371.SZ,北方华创,深交所,主板,半导体,北京,238.12,278.13,424.08,437.79,16.80%,52.48%,3.23%,83.85%,否
600995,600995.SH,南网储能,上交所,主板,水力发电,云南,7.97,8.92,9.03,14.65,11.92%,1.23%,62.24%,83.81%,否
600575,600575.SH,淮河能源,上交所,主板,火力发电,安徽,2.15,3.32,3.34,3.95,54.42%,0.60%,18.26%,83.72%,否
300291,300291.SZ,百纳千成,深交所,创业板,影视音像,北京,3.56,3.99,4.05,6.54,12.08%,1.50%,61.48%,83.71%,否
